harness,lang,toolchain,kernel,variant,round,rep,ns_per_op
simple,cpp,apple-clang-21.0.0,decode,idiomatic,1,0,11.1494
simple,cpp,apple-clang-21.0.0,decode,idiomatic,1,1,11.3936
simple,cpp,apple-clang-21.0.0,decode,idiomatic,1,2,11.1895
simple,cpp,apple-clang-21.0.0,decode,idiomatic,1,3,11.1494
simple,cpp,apple-clang-21.0.0,decode,idiomatic,1,4,11.1895
simple,cpp,apple-clang-21.0.0,decode,idiomatic,1,5,11.1895
simple,cpp,apple-clang-21.0.0,decode,idiomatic,1,6,11.1904
simple,cpp,apple-clang-21.0.0,decode,idiomatic,1,7,11.1084
simple,cpp,apple-clang-21.0.0,decode,idiomatic,1,8,11.1895
simple,cpp,apple-clang-21.0.0,decode,idiomatic,1,9,11.1484
simple,cpp,apple-clang-21.0.0,decode,idiomatic,1,10,11.0684
simple,cpp,apple-clang-21.0.0,decode,idiomatic,1,11,11.1494
simple,cpp,apple-clang-21.0.0,decode,idiomatic,1,12,11.1084
simple,cpp,apple-clang-21.0.0,decode,idiomatic,1,13,11.2305
simple,cpp,apple-clang-21.0.0,decode,idiomatic,1,14,11.1895
simple,cpp,apple-clang-21.0.0,decode,idiomatic,1,15,13.2656
simple,cpp,apple-clang-21.0.0,decode,idiomatic,1,16,13.0215
simple,cpp,apple-clang-21.0.0,decode,idiomatic,1,17,11.3525
simple,cpp,apple-clang-21.0.0,decode,idiomatic,1,18,11.3936
simple,cpp,apple-clang-21.0.0,decode,idiomatic,1,19,12.6143
simple,cpp,apple-clang-21.0.0,decode,idiomatic,1,20,14.4043
simple,cpp,apple-clang-21.0.0,decode,idiomatic,1,21,14.4043
simple,cpp,apple-clang-21.0.0,decode,idiomatic,1,22,11.1084
simple,cpp,apple-clang-21.0.0,decode,idiomatic,1,23,11.1494
simple,cpp,apple-clang-21.0.0,decode,idiomatic,1,24,11.1494
simple,cpp,apple-clang-21.0.0,decode,idiomatic,1,25,11.1494
simple,cpp,apple-clang-21.0.0,decode,idiomatic,1,26,11.1084
simple,cpp,apple-clang-21.0.0,decode,idiomatic,1,27,11.1084
simple,cpp,apple-clang-21.0.0,decode,idiomatic,1,28,11.1084
simple,cpp,apple-clang-21.0.0,decode,idiomatic,1,29,11.1494
simple,cpp,apple-clang-21.0.0,decode,idiomatic,1,30,11.1904
simple,cpp,apple-clang-21.0.0,decode,idiomatic,1,31,11.1494
simple,cpp,apple-clang-21.0.0,decode,idiomatic,1,32,11.1084
simple,cpp,apple-clang-21.0.0,decode,idiomatic,1,33,11.0674
simple,cpp,apple-clang-21.0.0,decode,idiomatic,1,34,11.1494
simple,cpp,apple-clang-21.0.0,decode,idiomatic,1,35,11.1494
simple,cpp,apple-clang-21.0.0,decode,idiomatic,1,36,11.1494
simple,cpp,apple-clang-21.0.0,decode,idiomatic,1,37,11.1904
simple,cpp,apple-clang-21.0.0,decode,idiomatic,1,38,11.1084
simple,cpp,apple-clang-21.0.0,decode,idiomatic,1,39,11.1904
simple,cpp,apple-clang-21.0.0,decode,idiomatic,1,40,11.1494
simple,cpp,apple-clang-21.0.0,decode,idiomatic,1,41,11.1494
simple,cpp,apple-clang-21.0.0,decode,idiomatic,1,42,11.1084
simple,cpp,apple-clang-21.0.0,decode,idiomatic,1,43,11.1494
simple,cpp,apple-clang-21.0.0,decode,idiomatic,1,44,11.1494
simple,cpp,apple-clang-21.0.0,decode,idiomatic,1,45,11.1484
simple,cpp,apple-clang-21.0.0,decode,idiomatic,1,46,11.0684
simple,cpp,apple-clang-21.0.0,decode,idiomatic,1,47,11.1084
simple,cpp,apple-clang-21.0.0,decode,idiomatic,1,48,11.1084
simple,cpp,apple-clang-21.0.0,decode,idiomatic,1,49,11.1484
simple,cpp,apple-clang-21.0.0,decode,idiomatic,1,50,11.1904
simple,cpp,apple-clang-21.0.0,decode,idiomatic,1,51,11.0674
simple,cpp,apple-clang-21.0.0,decode,idiomatic,1,52,11.1084
simple,cpp,apple-clang-21.0.0,decode,idiomatic,1,53,11.1084
simple,cpp,apple-clang-21.0.0,decode,idiomatic,1,54,11.1494
simple,cpp,apple-clang-21.0.0,decode,idiomatic,1,55,11.1084
simple,cpp,apple-clang-21.0.0,decode,idiomatic,1,56,11.1084
simple,cpp,apple-clang-21.0.0,decode,idiomatic,1,57,11.1084
simple,cpp,apple-clang-21.0.0,decode,idiomatic,1,58,11.1084
simple,cpp,apple-clang-21.0.0,decode,idiomatic,1,59,11.1084
simple,cpp,apple-clang-21.0.0,decode,idiomatic,1,60,11.1904
simple,cpp,apple-clang-21.0.0,decode,idiomatic,1,61,11.1084
